Soil Moisture,Temperature,Soil Humidity,Status
1,21,61,ON
33,13,43,ON
75,45,41,ON
80,34,57,ON
33,27,44,ON
85,5,37,OFF
27,24,34,OFF
50,22,52,ON
78,40,58,OFF
66,3,24,OFF
50,15,65,ON
7,23,22,OFF
22,34,31,ON
26,25,47,OFF
1,16,36,OFF
53,35,24,ON
55,19,37,ON
87,21,61,OFF
87,31,28,ON
67,28,40,ON
28,13,43,ON
83,34,27,OFF
26,19,51,ON
87,20,63,OFF
19,36,62,ON
7,21,53,OFF
22,18,20,OFF
26,6,40,OFF
36,43,25,ON
42,22,69,ON
39,8,70,ON
78,3,54,OFF
16,38,34,OFF
23,43,41,OFF
41,8,66,OFF
34,16,51,OFF
20,19,57,ON
59,32,39,OFF
22,38,25,ON
73,34,30,OFF
53,24,59,OFF
17,5,37,OFF
89,28,51,ON
48,19,41,ON
90,16,34,OFF
58,33,57,ON
3,16,23,ON
8,0,50,ON
89,39,29,OFF
88,37,63,OFF
3,19,35,OFF
2,7,33,OFF
52,14,69,ON
83,14,56,OFF
74,17,40,OFF
16,3,62,ON
8,9,59,OFF
72,4,49,OFF
53,13,68,ON
48,45,28,ON
18,2,63,ON
29,12,48,OFF
44,2,52,OFF
53,11,30,ON
74,30,70,ON
46,18,58,OFF
39,43,31,ON
56,13,29,OFF
51,6,32,ON
90,27,34,OFF
10,45,58,OFF
66,22,23,OFF
60,24,50,OFF
19,7,64,ON
26,4,34,ON
90,37,23,ON
65,20,64,ON
10,5,33,OFF
41,4,58,OFF
6,7,44,OFF
62,17,70,ON
56,9,29,OFF
50,28,34,ON
85,18,36,OFF
33,9,24,OFF
10,5,36,OFF
81,29,46,OFF
31,17,46,ON
34,39,58,ON
9,37,59,ON
22,42,62,ON
6,36,43,ON
36,30,43,ON
76,42,50,OFF
48,8,67,ON
57,34,40,OFF
38,15,69,ON
39,19,56,OFF
38,37,69,ON
78,11,69,OFF
59,12,39,ON
42,40,26,ON
82,27,30,OFF
72,32,70,OFF
60,25,34,ON
46,39,52,ON
6,45,49,ON
64,26,22,ON
16,31,37,OFF
71,9,41,OFF
58,38,39,ON
23,14,59,OFF
44,2,28,OFF
36,42,53,ON
68,16,35,OFF
28,37,24,ON
27,37,30,ON
75,38,44,OFF
8,18,55,ON
37,45,27,ON
22,4,64,OFF
55,42,35,ON
5,33,66,ON
38,9,50,OFF
71,42,53,ON
65,41,27,OFF
80,37,22,OFF
14,10,41,ON
6,19,58,ON
7,28,54,ON
77,25,21,OFF
19,17,48,ON
65,2,28,OFF
51,35,27,ON
90,20,25,OFF
19,29,52,OFF
22,29,57,ON
13,42,39,ON
84,28,54,ON
7,30,25,ON
26,35,59,ON
67,36,20,ON
89,10,51,OFF
18,19,70,ON
63,44,58,OFF
16,10,48,OFF
6,22,22,ON
8,25,38,ON
84,25,45,ON
27,12,53,OFF
67,37,27,OFF
71,3,46,OFF
77,3,37,OFF
33,5,68,ON
74,19,33,ON
25,21,33,ON
38,8,66,OFF
7,24,35,OFF
40,1,29,OFF
42,39,51,ON
87,45,46,OFF
12,28,32,ON
43,42,54,ON
85,5,33,OFF
52,23,65,OFF
21,16,36,OFF
2,4,26,ON
85,43,42,OFF
54,9,49,OFF
34,45,54,ON
67,25,25,OFF
18,42,64,ON
36,32,29,ON
28,16,46,OFF
76,19,67,ON
50,44,61,OFF
15,7,23,OFF
72,19,46,ON
15,36,51,OFF
11,18,69,ON
79,26,55,OFF
75,40,53,ON
71,2,22,OFF
40,16,50,OFF
48,38,36,ON
84,7,46,OFF
27,12,41,ON
43,0,46,OFF
25,15,26,OFF
18,17,28,ON
63,23,53,OFF
72,39,33,OFF
18,27,70,OFF
57,8,55,ON
82,3,35,ON
23,29,41,ON
85,36,20,OFF
90,7,28,OFF
90,41,43,OFF
54,1,68,OFF
30,42,67,OFF
10,15,48,ON
77,19,41,OFF
48,29,62,OFF
65,6,36,OFF
28,7,44,OFF
65,26,61,OFF
83,3,40,OFF
61,42,38,OFF
76,9,53,OFF
68,2,37,OFF
46,43,50,ON
37,31,53,ON
27,10,68,ON
85,44,53,ON
52,15,24,OFF
39,42,24,OFF
24,7,36,OFF
7,1,35,OFF
60,35,53,OFF
32,8,43,OFF
29,21,35,ON
27,28,42,ON
43,6,40,OFF
31,20,52,OFF
2,11,38,ON
49,37,42,ON
76,37,46,ON
14,25,20,ON
79,12,41,OFF
57,14,43,ON
34,15,31,ON
25,38,42,OFF
39,40,69,ON
86,35,21,OFF
50,0,53,OFF
13,40,26,ON
21,19,38,ON
58,21,52,ON
39,43,38,ON
52,3,37,OFF
42,21,34,ON
68,18,59,OFF
5,1,20,ON
41,29,32,ON
44,11,53,OFF
4,16,68,OFF
28,33,21,ON
55,24,57,ON
28,11,61,OFF
31,21,25,OFF
74,24,56,OFF
43,3,63,ON
79,13,30,OFF
5,17,30,ON
1,24,21,ON
12,22,62,ON
6,40,57,ON
25,13,55,OFF
18,12,65,ON
69,29,66,ON
85,10,26,OFF
88,37,61,ON
44,43,57,ON
76,22,70,ON
52,27,46,ON
44,1,43,OFF
10,3,28,ON
15,32,68,ON
64,45,26,ON
52,34,25,ON
73,44,62,ON
60,37,65,OFF
4,17,44,ON
39,33,69,ON
45,27,35,ON
34,21,43,OFF
84,14,61,OFF
29,18,31,ON
20,10,61,ON
58,43,38,ON
70,44,64,ON
10,1,30,OFF
18,14,27,OFF
28,28,26,ON
88,33,43,OFF
25,24,69,ON
23,29,58,ON
30,28,41,ON
43,24,40,ON
74,25,58,OFF
9,29,54,OFF
2,33,49,ON
7,5,40,ON
15,15,56,ON
30,26,46,ON
25,42,31,ON
48,3,45,OFF
15,16,44,ON
78,1,45,OFF
5,24,54,OFF
6,22,48,ON
22,34,59,ON
4,31,49,ON
22,45,28,OFF
76,17,43,OFF
35,29,66,ON
35,18,63,ON
67,0,30,OFF
55,38,56,ON
3,30,36,ON
60,2,22,OFF
38,32,69,ON
66,37,22,ON
44,2,67,OFF
87,29,35,ON
61,4,30,OFF
75,5,51,OFF
36,18,49,ON
14,37,37,ON
32,31,42,ON
17,18,20,ON
71,37,46,ON
59,40,60,ON
82,8,65,OFF
83,10,40,ON
39,3,59,ON
54,5,69,ON
59,26,33,ON
75,37,65,ON
28,5,27,OFF
23,10,66,ON
56,30,51,ON
49,39,66,ON
55,33,50,ON
67,17,32,ON
35,13,44,ON
77,6,61,OFF
64,0,30,OFF
76,33,60,OFF
49,21,63,ON
79,5,29,OFF
7,21,44,OFF
84,11,54,OFF
35,3,21,OFF
75,16,59,OFF
3,41,47,ON
1,42,64,ON
19,3,59,OFF
35,43,32,ON
51,24,30,OFF
73,16,59,OFF
54,8,62,OFF
53,28,64,ON
16,45,60,ON
27,14,70,ON
90,3,51,OFF
49,12,31,ON
19,35,51,OFF
32,25,43,ON
64,11,24,OFF
36,37,66,ON
86,41,31,OFF
28,33,27,ON
24,6,63,OFF
7,6,36,ON
65,43,69,ON
63,5,52,OFF
13,7,59,ON
58,3,49,OFF
69,10,70,OFF
50,45,59,ON
25,43,32,ON
80,3,43,OFF
22,13,58,ON
48,3,51,ON
84,19,65,OFF
72,2,61,OFF
56,7,61,OFF
79,16,40,ON
67,43,63,ON
21,40,21,ON
39,41,66,ON
8,19,36,ON
2,34,44,ON
32,16,31,ON
70,19,40,ON
9,44,44,ON
16,12,39,OFF
81,15,27,OFF
58,30,51,ON
47,45,60,ON
24,37,29,ON
70,34,50,ON
69,30,64,OFF
44,2,35,OFF
6,32,57,ON
43,44,45,ON
37,14,41,ON
18,21,30,ON
35,35,41,ON
46,18,37,ON
2,33,34,ON
21,3,25,OFF
53,4,22,OFF
85,22,26,OFF
79,38,31,OFF
60,41,41,ON
86,18,24,OFF
2,0,64,ON
84,15,41,OFF
37,23,50,ON
88,38,48,OFF
35,4,25,ON
48,24,54,OFF
10,30,53,ON
21,14,36,ON
6,19,22,ON
54,10,47,OFF
4,39,48,ON
20,29,61,ON
44,21,24,ON
22,44,29,ON
34,9,42,OFF
79,32,34,OFF
26,11,62,OFF
64,7,36,ON
28,30,43,ON
8,10,66,ON
66,18,34,OFF
72,16,39,OFF
45,38,52,ON
37,4,24,ON
42,26,28,OFF
72,29,59,OFF
4,27,29,ON
49,42,69,ON
4,30,56,OFF
80,23,42,OFF
25,3,66,ON
27,8,38,ON
34,20,22,OFF
40,31,44,ON
83,0,54,OFF
21,1,67,OFF
12,7,53,ON
85,37,38,OFF
2,9,31,ON
1,22,65,ON
64,39,45,ON
59,14,33,ON
49,24,44,ON
83,9,66,OFF
79,22,57,OFF
31,26,48,OFF
32,10,32,ON
48,32,38,ON
83,39,25,ON
31,34,32,ON
49,17,29,OFF
19,37,43,ON
37,10,26,OFF
73,44,42,ON
19,41,32,OFF
35,31,46,ON
38,44,42,ON
80,33,43,OFF
90,14,66,OFF
46,39,67,OFF
29,43,49,ON
90,16,44,ON
72,8,55,OFF
70,3,57,OFF
4,15,35,ON
25,31,57,ON
54,31,49,OFF
62,24,58,OFF
6,9,21,ON
76,16,60,OFF
19,37,31,ON
55,11,64,ON
26,45,48,ON
2,28,66,ON
23,45,22,ON
39,1,44,OFF
20,9,67,ON
62,36,41,OFF
6,12,35,OFF
29,16,34,OFF
56,0,54,OFF
33,26,57,ON
64,21,51,ON
44,14,32,ON
61,41,57,ON
23,23,46,ON
22,18,25,OFF
40,15,61,OFF
60,9,61,OFF
31,20,62,ON
45,14,32,ON
59,5,63,OFF
56,3,57,OFF
87,35,31,ON
22,33,61,ON
77,35,67,OFF
3,34,55,OFF
10,33,58,ON
61,39,51,OFF
32,10,27,OFF
10,29,51,ON
51,20,34,ON
41,43,64,OFF
71,6,23,OFF
62,6,32,ON
83,19,51,OFF
75,13,59,OFF
56,27,52,ON
80,40,40,ON
30,20,38,ON
25,32,68,ON
12,35,57,OFF
71,44,56,OFF
40,11,39,ON
57,43,21,ON
57,35,50,ON
68,12,54,OFF
60,13,54,OFF
60,9,23,OFF
40,33,45,ON
72,2,52,OFF
18,33,22,ON
75,36,26,OFF
86,13,56,OFF
29,12,47,ON
3,36,70,ON
81,6,26,OFF
48,16,48,OFF
42,5,55,OFF
56,39,63,ON
35,32,70,ON
39,30,30,OFF
20,11,23,ON
75,21,43,OFF
51,39,40,ON
37,12,62,OFF
52,15,36,ON
57,39,23,ON
17,42,54,ON
66,14,47,OFF
21,41,34,ON
39,30,42,ON
70,45,52,OFF
77,37,68,OFF
54,17,29,OFF
72,31,53,ON
63,40,27,OFF
62,26,21,OFF
47,13,42,ON
1,14,20,ON
15,14,29,ON
73,4,67,OFF
89,0,24,OFF
65,35,25,OFF
43,1,21,OFF
62,37,62,ON
38,6,61,OFF
55,40,46,ON
67,21,62,OFF
6,26,26,ON
22,24,46,OFF
34,1,38,OFF
74,11,20,OFF
50,37,48,ON
14,30,67,ON
16,32,62,ON
28,28,23,ON
40,23,22,ON
51,15,35,ON
50,45,58,ON
26,1,32,OFF
45,29,55,ON
74,18,55,OFF
77,26,27,OFF
23,18,63,OFF
78,39,65,OFF
81,20,61,OFF
75,23,62,OFF
75,45,51,OFF
37,9,36,ON
65,37,56,OFF
44,12,68,ON
7,17,48,ON
63,35,38,OFF
60,16,63,OFF
81,25,31,OFF
79,5,56,OFF
24,19,65,OFF
34,4,67,OFF
70,43,20,OFF
70,14,35,OFF
6,29,31,OFF
75,6,68,OFF
46,28,23,ON
62,10,41,OFF
58,41,27,ON
52,12,63,ON
40,31,42,ON
38,19,25,OFF
86,3,20,OFF
7,30,67,ON
79,36,65,ON
20,38,25,OFF
3,4,50,ON
22,21,24,OFF
53,8,53,OFF
87,13,35,OFF
45,17,27,OFF
76,26,45,OFF
62,38,68,OFF
7,8,36,OFF
63,32,22,ON
27,17,33,ON
2,26,52,ON
31,28,48,ON
75,45,24,ON
21,29,20,ON
41,5,57,ON
17,30,69,OFF
60,42,63,ON
60,20,45,ON
18,15,56,ON
69,0,43,OFF
33,9,26,OFF
58,16,36,ON
4,6,36,ON
28,1,41,OFF
25,12,22,ON
30,24,58,OFF
21,34,53,ON
24,3,38,OFF
45,32,36,ON
90,23,24,OFF
71,32,62,OFF
26,35,40,ON
51,23,27,ON
13,25,31,ON
25,24,65,ON
1,30,36,OFF
6,26,42,ON
55,34,49,OFF
11,29,53,ON
38,40,28,ON
11,42,23,ON
41,4,20,OFF
64,30,42,ON
5,28,20,ON
62,8,34,ON
10,12,42,ON
43,29,68,OFF
9,28,55,ON
21,36,54,ON
57,21,31,ON
22,30,69,ON
42,3,57,ON
33,22,28,OFF
15,35,56,ON
55,17,41,ON
80,45,46,ON
24,24,41,OFF
41,13,29,OFF
49,18,20,ON
25,21,31,ON
57,0,56,OFF
4,7,57,ON
12,6,60,OFF
75,27,65,ON
12,8,56,ON
37,42,33,ON
73,3,69,OFF
86,0,49,OFF
13,28,49,ON
42,30,34,ON
77,11,53,OFF
82,15,46,ON
73,41,40,ON
16,36,25,OFF
28,18,64,ON
15,25,20,ON
20,9,63,OFF
15,14,64,ON
65,36,45,OFF
61,5,27,OFF
23,4,36,OFF
13,2,42,OFF
13,31,64,ON
40,7,55,ON
18,33,29,ON
34,39,46,OFF
56,31,54,OFF
66,40,27,ON
6,28,59,ON
15,16,62,ON
15,32,33,ON
85,15,20,OFF
44,11,66,OFF
50,11,32,ON
41,37,33,ON
29,44,25,OFF
11,40,67,ON
13,44,49,ON
3,36,25,ON
45,29,24,ON
16,5,70,OFF
61,32,62,OFF
27,20,26,OFF
64,24,25,OFF
15,35,39,ON
33,35,23,ON
9,15,49,ON
58,10,46,OFF
61,43,42,OFF
83,9,21,OFF
59,32,23,ON
9,0,67,OFF
83,24,70,OFF
6,19,31,ON
72,17,43,ON
88,8,24,OFF
60,40,51,OFF
55,9,49,OFF
56,38,61,ON
74,15,57,OFF
63,13,32,ON
88,27,21,OFF
83,0,56,OFF
38,36,24,ON
39,20,66,OFF
7,13,68,ON
37,26,68,ON
38,11,61,OFF
62,12,28,OFF
12,15,23,ON
84,4,64,ON
71,10,38,ON
84,12,49,OFF
57,24,29,OFF
80,35,34,OFF
9,38,58,OFF
25,23,41,ON
81,45,31,ON
83,41,28,ON
75,7,52,OFF
47,33,25,OFF
18,21,25,ON
10,14,61,OFF
72,29,58,OFF
83,31,61,OFF
28,29,24,OFF
71,10,32,ON
28,26,60,ON
14,12,40,ON
90,26,30,OFF
26,29,43,ON
69,30,38,ON
41,9,62,OFF
90,45,25,ON
80,42,36,ON
70,28,38,OFF
39,30,29,ON
4,45,42,ON
15,26,51,OFF
39,23,42,ON
29,20,23,ON
3,14,48,ON
56,36,51,ON
41,14,50,ON
10,15,37,ON
11,31,45,ON
43,2,36,OFF
82,32,20,OFF
74,2,26,OFF
4,8,25,ON
47,13,31,ON
89,26,39,OFF
74,28,36,OFF
47,26,22,ON
34,4,53,OFF
23,30,33,ON
17,35,21,ON
87,19,27,OFF
89,0,26,OFF
8,19,31,ON
44,8,35,ON
89,4,20,OFF
10,32,23,ON
80,45,59,ON
34,18,36,ON
19,13,41,ON
37,45,68,ON
32,3,48,ON
35,25,27,OFF
10,24,64,ON
20,4,40,ON
83,34,51,ON
37,9,33,ON
86,1,38,OFF
13,30,58,ON
29,18,38,OFF
16,13,22,ON
72,29,25,OFF
42,21,51,ON
20,6,61,ON
80,5,62,OFF
62,34,60,ON
22,0,31,OFF
65,33,48,OFF
9,0,69,ON
20,15,33,ON
6,11,42,ON
31,28,69,ON
57,43,49,ON
41,43,56,OFF
76,6,56,OFF
39,44,37,ON
45,33,37,OFF
28,26,41,ON
88,11,24,OFF
84,43,42,OFF
35,12,42,ON
64,3,59,OFF
59,12,45,OFF
51,21,43,OFF
19,17,51,ON
54,29,47,ON
67,41,43,ON
58,11,32,ON
34,15,29,OFF
89,26,63,OFF
37,25,31,OFF
21,22,26,ON
43,38,50,OFF
66,32,35,ON
2,14,38,OFF
62,40,62,ON
71,14,43,ON
9,27,29,ON
86,43,57,ON
6,21,56,ON
67,41,52,ON
21,18,24,ON
86,6,56,OFF
27,2,39,OFF
53,41,34,OFF
14,1,70,ON
49,32,41,ON
30,41,33,OFF
19,9,61,ON
65,43,33,OFF
32,3,35,ON
5,32,37,ON
73,39,46,ON
26,29,27,ON
61,26,32,OFF
20,1,51,OFF
32,20,28,OFF
26,26,26,OFF
11,28,60,ON
59,24,63,OFF
35,13,64,ON
51,31,66,ON
82,44,59,OFF
76,35,41,ON
56,8,21,OFF
75,5,37,ON
58,28,56,ON
52,17,47,OFF
40,26,69,OFF
20,37,33,ON
29,36,24,ON
74,0,22,OFF
85,22,33,ON
82,24,58,OFF
48,23,48,ON
87,27,60,OFF
57,18,37,ON
90,18,65,ON
76,29,65,ON
81,43,57,ON
25,43,60,ON
38,30,68,OFF
43,5,55,ON
63,19,49,ON
70,39,50,OFF
41,23,21,ON
69,5,50,OFF
49,41,66,OFF
50,2,31,OFF
5,4,25,ON
14,19,56,ON
53,34,56,ON
73,14,28,OFF
73,39,59,ON
6,34,49,ON
48,8,35,ON
19,38,54,OFF
16,1,55,OFF
19,20,31,OFF
4,33,51,ON
46,4,40,OFF
55,42,23,ON
38,15,49,ON
14,15,64,OFF
20,31,24,ON
10,2,21,OFF
70,42,25,OFF
57,44,24,OFF
25,9,44,OFF
83,26,26,OFF
65,43,38,ON
54,21,37,ON
68,25,64,OFF
17,12,53,ON
39,36,26,OFF
13,8,41,ON
27,0,66,OFF
45,18,20,ON
67,13,67,OFF
34,31,63,ON
37,43,30,ON
22,13,64,ON
16,17,62,ON
70,29,54,OFF
62,43,21,ON
15,29,31,ON
8,38,42,ON
27,22,53,ON
50,33,38,ON
43,1,49,OFF
52,24,32,ON
50,19,25,OFF
60,21,55,OFF
18,34,59,ON
14,12,40,ON
15,40,48,ON
15,27,57,ON
79,8,56,OFF
49,18,35,ON
84,5,60,OFF
50,1,49,OFF
17,39,45,ON
46,8,40,OFF
10,4,44,ON
84,19,61,OFF
71,41,22,ON
40,4,70,OFF
33,19,50,OFF
63,13,25,OFF
72,31,68,ON
1,7,65,ON
43,45,32,ON
32,24,31,OFF
88,9,34,ON
52,1,65,ON
25,8,63,OFF
37,38,70,ON
25,21,38,ON
23,12,26,OFF
22,15,36,ON
4,31,57,ON
57,45,22,ON
21,37,45,OFF
67,43,47,OFF
39,3,44,OFF
84,25,30,OFF
90,33,26,ON
20,41,56,ON
83,30,33,OFF
77,10,21,OFF
68,18,59,OFF
77,29,40,ON
49,26,39,ON
77,30,64,ON
21,12,37,ON
62,3,58,OFF
56,20,68,ON
85,34,60,OFF
13,8,55,OFF
61,19,46,OFF
66,31,26,ON
23,40,28,OFF
32,33,65,ON
56,38,39,ON
5,35,70,ON
29,43,57,ON
3,19,69,OFF
26,39,39,ON
78,44,62,ON
42,12,57,OFF
64,15,57,OFF
90,25,44,OFF
31,2,46,ON
48,9,42,OFF
81,16,34,ON
47,34,54,ON
65,10,37,OFF
4,14,45,ON
6,27,54,ON
33,37,67,ON
59,8,69,ON
54,17,53,ON
48,45,46,ON
54,26,54,ON
53,28,34,ON
25,3,61,OFF
57,38,26,ON
27,1,54,OFF
74,41,66,ON
83,2,54,OFF
38,5,56,OFF
64,9,40,OFF
50,40,28,ON
47,35,40,ON
77,38,52,OFF
22,35,22,ON
65,6,64,ON
63,8,21,OFF
27,8,55,OFF
78,44,65,ON
56,38,45,ON
13,20,55,ON
17,0,49,OFF
85,45,38,ON
30,43,32,ON
8,15,26,ON
76,32,24,OFF
51,42,69,OFF
43,28,35,ON
9,25,35,ON
16,45,67,ON
45,31,53,ON
50,40,21,ON
16,14,68,ON
6,9,51,OFF
15,29,51,ON
63,4,52,OFF
81,4,57,OFF
40,5,41,OFF
19,40,52,ON
42,45,32,ON
5,37,57,ON
24,21,42,ON
46,37,68,ON
63,34,52,OFF
6,20,62,ON
21,34,70,ON
81,6,22,OFF
72,5,30,OFF
37,1,42,OFF
89,18,44,ON
76,2,25,OFF
41,13,56,OFF
18,20,26,OFF
20,40,60,ON
65,10,64,ON
33,2,32,ON
18,16,48,OFF
72,19,46,OFF
12,38,52,ON
88,25,45,OFF
73,18,56,OFF
62,44,44,OFF
1,41,47,ON
57,3,55,OFF
37,39,41,ON
30,26,63,OFF
36,5,52,OFF
30,27,64,ON
83,35,66,OFF
16,38,70,ON
49,8,47,OFF
29,44,29,ON
60,32,26,OFF
66,39,25,ON
3,9,70,OFF
20,35,55,ON
43,30,23,ON
76,10,33,ON
17,21,43,ON
81,35,44,OFF
78,9,58,OFF
66,43,51,OFF
26,38,52,ON
32,35,27,ON
88,3,47,OFF
59,4,25,OFF
17,29,52,ON
18,37,27,ON
33,45,30,ON
62,41,63,OFF
89,45,37,OFF
70,24,21,OFF
52,13,21,ON
18,35,58,ON
84,24,46,ON
59,11,55,ON
35,14,22,OFF
41,24,49,ON
77,16,61,OFF
80,37,44,OFF
84,43,57,OFF
45,25,59,OFF
15,2,29,OFF
74,44,47,OFF
39,36,32,ON
89,5,48,OFF
56,2,23,ON
72,7,56,OFF
14,6,29,OFF
77,29,30,OFF
66,22,38,OFF
50,8,37,ON
1,8,22,OFF
84,37,53,ON
61,30,64,OFF
26,44,34,ON
61,3,52,OFF
38,21,70,OFF
85,15,63,OFF
54,7,24,ON
52,33,55,ON
43,1,58,OFF
63,10,68,OFF
56,17,59,OFF
32,1,38,OFF
42,5,64,ON
24,4,42,OFF
72,45,30,OFF
61,15,63,OFF
48,21,33,ON
74,18,45,ON
18,40,51,ON
54,9,51,OFF
10,35,23,ON
21,12,34,OFF
87,11,46,OFF
2,39,54,OFF
25,24,37,ON
65,17,41,OFF
15,34,55,OFF
24,5,43,OFF
9,19,25,ON
77,5,33,ON
49,32,55,OFF
81,37,50,ON
84,6,68,OFF
77,42,26,OFF
37,34,44,ON
88,26,42,OFF
47,24,65,ON
78,33,43,ON
55,43,33,ON
12,23,58,ON
16,18,39,ON
38,12,61,ON
40,13,31,ON
57,41,34,OFF
45,25,29,OFF
84,8,43,OFF
64,16,59,OFF
62,40,41,OFF
3,9,32,ON
42,42,60,ON
23,39,65,OFF
55,0,43,OFF
32,35,30,ON
58,37,34,ON
49,16,39,ON
84,32,21,OFF
44,37,59,OFF
62,39,49,ON
36,21,59,ON
13,22,70,ON
38,45,55,ON
66,23,66,ON
13,0,45,OFF
79,33,42,ON
46,45,54,OFF
19,11,21,ON
71,9,24,OFF
64,25,21,OFF
41,5,29,OFF
43,31,39,ON
5,11,50,ON
20,45,49,ON
41,7,31,OFF
3,37,68,ON
88,16,23,OFF
82,41,25,ON
5,42,46,ON
41,40,47,ON
90,10,28,OFF
70,12,27,OFF
29,21,47,ON
43,38,59,ON
20,4,46,OFF
79,29,47,ON
56,8,41,OFF
46,41,20,OFF
17,11,21,ON
22,33,52,ON
48,19,56,OFF
52,24,59,ON
23,7,26,OFF
71,18,65,ON
59,31,48,ON
34,9,39,OFF
75,35,29,ON
24,15,53,OFF
89,17,39,ON
54,0,57,OFF
90,22,40,ON
10,10,61,ON
23,0,44,OFF
55,22,37,ON
72,18,31,OFF
39,6,47,OFF
51,34,33,ON
30,39,43,OFF
51,42,48,ON
43,32,38,ON
20,2,66,OFF
65,28,67,ON
76,11,26,OFF
64,42,21,ON
22,35,54,ON
21,17,69,OFF
56,40,35,ON
28,9,28,OFF
24,3,20,ON
32,36,56,OFF
89,21,27,OFF
49,43,44,OFF
55,35,56,OFF
26,29,46,ON
90,33,36,ON
65,39,28,ON
55,3,55,OFF
60,16,25,OFF
78,34,44,ON
20,5,65,ON
52,11,40,ON
81,21,68,OFF
9,34,49,OFF
12,45,40,ON
66,4,26,OFF
7,22,28,ON
54,33,69,ON
80,29,28,OFF
67,30,31,OFF
48,2,37,OFF
45,31,30,ON
85,10,48,OFF
31,5,33,ON
83,17,65,ON
68,3,56,OFF
26,45,57,ON
4,16,49,OFF
16,29,57,ON
44,14,23,OFF
84,4,31,OFF
2,23,23,ON
14,38,68,OFF
28,12,34,ON
89,21,38,ON
60,10,28,OFF
51,9,27,ON
55,45,47,OFF
57,38,42,ON
41,42,67,ON
62,6,33,ON
19,6,49,ON
14,44,47,ON
58,30,60,OFF
40,6,63,OFF
26,3,61,OFF
88,10,32,OFF
87,26,41,OFF
40,33,30,ON
53,21,23,OFF
42,31,36,ON
35,8,60,OFF
67,44,30,ON
80,8,63,OFF
68,37,27,ON
53,36,23,ON
33,35,54,ON
24,33,26,ON
59,25,44,ON
19,20,32,ON
18,29,30,ON
57,17,20,OFF
36,17,45,ON
8,34,62,OFF
38,31,57,ON
39,24,43,ON
23,11,20,OFF
30,8,69,ON
21,21,61,OFF
66,17,42,OFF
48,44,56,ON
87,0,62,OFF
36,32,38,ON
8,18,43,OFF
52,24,25,ON
44,6,52,OFF
72,4,67,ON
50,10,44,OFF
29,15,50,ON
60,10,52,OFF
90,4,27,OFF
56,4,63,OFF
45,41,68,ON
59,42,22,OFF
33,13,45,OFF
28,12,56,OFF
33,32,59,ON
22,2,61,OFF
89,24,35,ON
45,36,64,OFF
37,23,39,OFF
18,14,40,OFF
81,29,61,OFF
89,23,54,OFF
18,34,32,ON
50,17,32,ON
12,6,41,ON
39,33,42,ON
45,36,44,ON
38,31,36,OFF
35,43,52,ON
5,37,28,ON
15,37,67,ON
19,23,28,ON
52,24,49,ON
90,45,53,OFF
39,16,61,OFF
21,29,60,ON
15,16,70,ON
78,12,57,OFF
65,32,66,ON
22,36,25,ON
11,18,51,ON
43,41,26,OFF
50,32,59,ON
52,28,42,ON
67,33,34,OFF
13,16,55,OFF
39,10,25,OFF
57,0,41,OFF
6,17,27,ON
3,26,22,ON
68,13,65,ON
89,24,44,OFF
18,38,66,ON
21,26,69,ON
45,4,66,ON
39,21,21,ON
50,3,67,ON
70,30,64,ON
36,39,67,OFF
88,36,25,OFF
29,16,22,OFF
67,11,48,OFF
36,39,21,ON
62,22,40,OFF
84,14,45,OFF
83,25,62,OFF
75,6,44,OFF
8,2,45,OFF
32,22,20,OFF
32,45,62,ON
63,19,39,OFF
78,6,51,OFF
38,32,36,ON
23,13,20,OFF
9,29,44,ON
16,43,23,ON
18,28,62,ON
83,8,37,ON
34,38,67,ON
26,3,33,ON
55,35,48,OFF
51,15,51,OFF
1,43,42,ON
24,28,31,OFF
66,44,47,ON
29,4,59,ON
4,35,52,ON
69,6,67,ON
83,43,67,OFF
69,40,66,ON
84,40,58,OFF
2,12,28,ON
51,19,61,ON
73,6,44,OFF
58,27,29,OFF
67,31,45,ON
70,45,38,ON
36,14,36,ON
75,44,62,ON
11,6,23,OFF
83,19,41,ON
84,12,60,OFF
9,14,57,ON
11,13,29,ON
72,16,65,ON
57,10,35,OFF
83,8,63,OFF
64,14,54,ON
29,6,26,ON
67,32,28,ON
58,3,33,ON
34,11,48,OFF
72,6,70,OFF
36,10,44,OFF
42,7,60,OFF
76,38,64,OFF
46,37,64,ON
36,11,49,ON
61,35,36,OFF
75,5,51,OFF
68,14,22,ON
43,28,47,OFF
56,10,65,ON
51,23,61,OFF
46,7,39,ON
19,45,20,ON
68,21,25,OFF
25,20,48,ON
29,22,38,OFF
54,5,40,OFF
37,9,29,OFF
81,7,45,OFF
48,8,39,OFF
48,13,33,ON
10,44,26,ON
7,24,59,ON
87,45,49,ON
86,10,56,OFF
8,44,25,ON
39,28,44,ON
49,40,45,OFF
1,30,60,OFF
13,0,24,OFF
87,10,50,OFF
60,19,22,OFF
75,40,59,OFF
12,2,57,ON
31,41,55,OFF
47,12,29,OFF
70,7,46,OFF
53,21,54,ON
24,22,32,ON
47,26,34,ON
28,31,40,OFF
90,11,34,OFF
65,21,46,OFF
73,14,32,ON
12,0,30,ON
42,3,67,ON
22,8,68,ON
41,20,27,OFF
29,30,31,OFF
66,45,45,OFF
4,43,27,ON
25,16,20,OFF
34,29,55,ON
